Rank,Player,Team,Position,Hit/FB,Power/CB,Run/CH,Arm/SL ,Field/Control,Overall,FG WAR First 7,Contract $ over Minimum
10,Tim Cooney,STL,LHP,50,45,55,40,55,50,0.4,
11,Charlie Tilson,STL,OF,55,30,60,50,60,50,-0.8,
12,Randal Grichuk,STL,OF,50,55,40,50,50,50,11.5,20
13,Jordan Swagerty,STL,RHP,60,60,40,,50,45,0,
14,Oscar Mercado,STL,SS,40,30,50,60,60,45,1.8,
15,Juan Herrera,STL,SS,50,20,50,55,60,50,0,
16,Tyrell Jenkins,STL,RHP,65,55,45,,45,50,-0.9,
17,Zach Petrick,STL,RHP,55,50,55,,55,45,0,
18,Lee Stoppelman,STL,LHP,50,50,50,,50,45,0,
19,Mike O’Neill,STL,OF,60,20,50,40,50,45,0,
20,Sam Freeman,STL,LHP ,65,45,45,,45,45,0.7,
4,Andrew Toles,TBR,OF,55,45,70,45,55,45,1.9,
5,Enny Romero,TBR,LHP,65,50,45,,45,50,0.3,
6,Alex Colome,TBR,RHP,65,50,50,55,45,50,5.9,21
7,Nick Ciuffo,TBR,C,50,55,30,60,55,50,-0.2,
8,Nate Karns,TBR,RHP,65,55,45,,50,45,2.9,0.5
9,Ryan Brett,TBR,2B,50,30,70,45,50,50,0.1,
10,Blake Snell,TBR,LHP,60,,50,55,45,45,17.3,35
11,Kevin Kiermaier,TBR,OF,50,30,60,55,65,45,19.9,20
12,Ryne Stanek,TBR,RHP,65,50,40,55,45,45,2.7,4.5
13,Richie Shaffer,TBR,3B,45,55,30,60,45,45,0.3,
14,Tim Beckham,TBR,SS,45,40,50,55,45,45,2.8,5.5
15,Mikie Mahtook,TBR,OF,45,45,50,50,50,45,0.9,
16,Jeff Ames,TBR,RHP,55,,45,50,50,45,0,
17,Riley Unroe,TBR,SS,50,35,60,55,55,45,0,
18,Jose Mujica,TBR,RHP,65,50,50,,50,45,-0.2,
19,Mike Montgomery,TBR,LHP,55,45,55,50,40,45,3.8,5
20,Grayson Garvin,TBR,LHP,50,,55,50,50,45,0,
6,Nick Williams,TEX,OF,55,50,55,50,55,55,-0.4,
7,Chi Chi Gonzalez,TEX,RHP,65,40,45,60,50,55,0.5,1
8,Luke Jackson,TEX,RHP,60,55,50,45,45,55,1.9,5.5
9,Lewis Brinson,TEX,OF,45,60,60,55,60,50,-3.5,
10,Nomar Mazara,TEX,OF,45,55,40,55,45,50,2.0,8.5
11,Alec Asher,TEX,RHP,55,45,50,55,50,50,0.5,
12,Jairo Beras,TEX,OF,40,55,45,70,50,45,0,
13,Nick Martinez,TEX,RHP,50,50,50,,50,45,2.2,
14,Yeyson Yrizarri,TEX,SS,50,40,50,70,50,45,0,
15,Travis Demeritte,TEX,2B,45,55,50,60,45,50,-1.2,
16,Ronald Guzman,TEX,1B,50,45,30,45,45,45,-0.5,
17,Keone Kela,TEX,RHP,80,,40,50,45,45,3.9,6
18,Victor Payano,TEX,LHP,70,55,45,,40,45,0,
19,Jose Almonte,TEX,OF,,,,,,,0,
20,Sam Wolff,TEX,RHP,,,,,,,0,
3,Brian Goodwin,WSN,OF,50,40,60,50,55,45,3.2,2
4,Michael Taylor,WSN,OF,40,50,60,55,65,55,-0.9,
5,Sammy Solis,WSN,LHP,60,50,55,,50,45,0.8,
6,Matt Purke,WSN,LHP,60,,50,50,50,50,0.1,
7,Matt Skole,WSN,1B,50,60,30,50,45,45,-0.5,
8,Pedro Severino,WSN,C,40,30,30,65,60,45,0.5,3
9,Jefry Rodriguez,WSN,RHP,65,55,45,,45,45,-0.2,
10,Zach Walters,WSN,SS,45,50,45,60,50,45,-0.5,
11,Drew Vettleson,WSN,OF,50,50,40,60,50,45,0,
12,Jake Johansen,WSN,RHP,65,40,40,45,45,45,0,
13,Drew Ward,WSN,3B,50,55,30,55,40,45,0,
14,Steven Souza Jr,WSN,OF,40,50,50,55,50,50,6,7
15,Eury Perez,WSN,OF,45,20,70,55,60,45,0,
16,Austin Voth,WSN,RHP,60,,45,50,60,45,1.4,
17,Blake Treinen,WSN,RHP,60,45,50,45,55,45,6.2,16.5
18,Felipe Vazquez,WSN,LHP,60,45,55,,45,45,8.2,18
19,Jeff Kobernus,WSN,2B,50,30,65,50,50,45,-0.1,
20,Tony Renda,WSN,2B,50,30,50,45,50,45,-0.4,
